uniprot_id,protein_length,molecular_weight,hydrophobic_ratio,charged_ratio,aromatic_ratio,polar_ratio,disorder_prone_ratio,gc_content,has_signal_peptide,transmembrane_domains,domain_count,repeat_count,coiled_coil_count,enzyme_count,has_enzyme_activity,protein_existence_evidence,has_experimental_evidence,go_molecular_function,go_biological_process,go_cellular_component,go_total_count,interpro_domains,pfam_domains,smart_domains,supfam_domains,total_domain_databases,subcellular_location_count,is_membrane_protein,is_nuclear_protein,is_cytoplasmic_protein,is_mitochondrial_protein,is_secreted_protein,keyword_count,has_essential_keywords,has_metabolic_keywords,has_structural_keywords,has_regulatory_keywords,gene_name,species,taxonomy_id,larval_lethal,target_encoded
Q09476,413,46453,0.31234866828087166,0.2736077481840194,0.08958837772397095,0.28087167070217917,0.5181598062953995,0.13317191283292978,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,True,False,False,11,False,False,False,False,WBGene00016197,C_elegans,6239,yes,1
P45442,402,44603,0.4154228855721393,0.19900497512437812,0.09701492537313433,0.27860696517412936,0.4577114427860697,0.10696517412935323,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,13,False,False,False,False,WBGene00002246,C_elegans,6239,yes,1
G5EFP4,680,75605,0.3764705882352941,0.25735294117647056,0.045588235294117645,0.3058823529411765,0.41911764705882354,0.060294117647058824,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,7,False,False,False,False,WBGene00008094,C_elegans,6239,yes,1
G5ECJ4,312,33459,0.47115384615384615,0.1794871794871795,0.0641025641025641,0.28525641025641024,0.5673076923076923,0.0641025641025641,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,5,False,False,False,False,WBGene00008094,C_elegans,6239,yes,1
G5EE16,996,112267,0.42570281124497994,0.2620481927710843,0.0783132530120482,0.26706827309236947,0.4367469879518072,0.045180722891566265,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,2,False,False,False,False,WBGene00008094,C_elegans,6239,yes,1
Q93373,773,85297,0.4346701164294955,0.18758085381630013,0.05821474773609314,0.3208279430789133,0.4476067270375162,0.056921086675291076,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,8,False,False,False,False,WBGene00008094,C_elegans,6239,yes,1
G5EFP4,680,75605,0.3764705882352941,0.25735294117647056,0.045588235294117645,0.3058823529411765,0.41911764705882354,0.060294117647058824,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,7,False,False,False,False,WBGene00002282,C_elegans,6239,yes,1
G5ECJ4,312,33459,0.47115384615384615,0.1794871794871795,0.0641025641025641,0.28525641025641024,0.5673076923076923,0.0641025641025641,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,5,False,False,False,False,WBGene00002282,C_elegans,6239,yes,1
G5EE16,996,112267,0.42570281124497994,0.2620481927710843,0.0783132530120482,0.26706827309236947,0.4367469879518072,0.045180722891566265,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,2,False,False,False,False,WBGene00002282,C_elegans,6239,yes,1
Q93373,773,85297,0.4346701164294955,0.18758085381630013,0.05821474773609314,0.3208279430789133,0.4476067270375162,0.056921086675291076,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,8,False,False,False,False,WBGene00002282,C_elegans,6239,yes,1
Q23175,439,49637,0.38724373576309795,0.29157175398633256,0.07061503416856492,0.27790432801822323,0.5148063781321185,0.04328018223234624,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,7,False,False,False,False,WBGene00000453,C_elegans,6239,yes,1
Q10651,686,79435,0.33819241982507287,0.39067055393586003,0.08163265306122448,0.2259475218658892,0.49854227405247814,0.04518950437317784,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,2,True,False,False,False,False,14,False,False,False,False,WBGene00000149,C_elegans,6239,yes,1
P39055,830,93407,0.42289156626506025,0.28313253012048195,0.06506024096385542,0.21686746987951808,0.5120481927710844,0.07710843373493977,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,3,True,False,True,False,False,13,False,False,False,False,WBGene00001130,C_elegans,6239,yes,1
O16369,157,18634,0.42038216560509556,0.29936305732484075,0.1337579617834395,0.21019108280254778,0.4012738853503185,0.07006369426751592,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,3,True,False,True,False,False,8,False,False,False,False,WBGene00000159,C_elegans,6239,yes,1
Q8WQB3,829,91639,0.44632086851628466,0.23522316043425814,0.061519903498190594,0.2436670687575392,0.4499396863691194,0.07478890229191798,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,2,True,False,True,False,False,7,False,False,False,False,WBGene00000158,C_elegans,6239,yes,1
